Barang 1,Barang 2,Barang 3,Barang 4,Barang 5,Barang 6
Wine,Chips,Bread,Butter,Milk,Apple
Wine,,Bread,Butter,Milk,
,,Bread,Butter,Milk,
,Chips,,,,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,,,Milk,
Wine,Chips,Bread,Butter,,Apple
Wine,Chips,,,Milk,
Wine,,Bread,,,Apple
Wine,Chips,Bread,Butter,Milk,
,Chips,Bread,Butter,,Apple
Wine,,,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,
Wine,,Bread,,Milk,Apple
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
,Chips,Bread,Butter,Milk,Apple
,Chips,,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,,Milk,Apple
,Chips,,,,
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
,Chips,Bread,Butter,Milk,Apple
,Chips,,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,,Milk,Apple
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
,Chips,Bread,Butter,Milk,Apple
,Chips,,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,,Milk,Apple
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
,Chips,Bread,Butter,Milk,Apple
,Chips,,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,,Milk,Apple
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
,Chips,Bread,Butter,Milk,Apple
,Chips,,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
Wine,,Bread,Butter,Milk,Apple
Wine,Chips,Bread,,Milk,Apple
,Chips,,,,
Wine,Chips,Bread,,Milk,Apple
,,,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,
,Chips,Bread,Butter,Milk,Apple
,Chips,Bread,,Milk,Apple
Wine,Chips,Bread,Butter,,
Wine,,Bread,Butter,,Apple
,Chips,Bread,Butter,,
Wine,Chips,,Butter,Milk,Apple
Wine,Chips,Bread,,Milk,
,Chips,Bread,,Milk,Apple
Wine,Chips,,,Milk,Apple
Wine,,Bread,,Milk,
Wine,,Bread,,Milk,Apple
,,Bread,Butter,Milk,Apple
,Chips,,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
,,Bread,Butter,Milk,Apple
,Chips,Bread,Butter,Milk,
,Chips,,Butter,,
,Chips,,Butter,Milk,Apple
Wine,,,Butter,Milk,
Wine,Chips,Bread,,Milk,Apple
,,,,Milk,
Wine,Chips,Bread,,Milk,Apple
,,,,Milk,
Wine,Chips,Bread,,,
Wine,Chips,Bread,Butter,,Apple
Wine,Chips,Bread,,,
,,,,Milk,Apple
Wine,Chips,Bread,,Milk,
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,,,Milk,
Wine,Chips,Bread,Butter,Milk,Apple
Wine,Chips,Bread,Butter,Milk,Apple
,Chips,Bread,,,Apple
,Chips,Bread,Butter,Milk,Apple
,Chips,Bread,,,Apple
Wine,Chips,Bread,,,Apple
Wine,Chips,Bread,,,Apple
Wine,,Bread,,,
Wine,,Bread,,Milk,Apple
Wine,Chips,Bread,,Milk,Apple
,,,,Milk,Apple
Wine,Chips,Bread,,Milk,Apple
Wine,Chips,Bread,Butter,,Apple
Wine,Chips,Bread,,,
Wine,Chips,Bread,Butter,,Apple
Wine,Chips,Bread,,,
Wine,Chips,Bread,Butter,,Apple